feature,importance,shap_importance,combined_score
pm2_5,0.4706585024526482,26.974276519561034,13.72246751100684
aqi_lag1h,0.0821676403887817,5.357433449066965,2.7198005447278737
pm10,0.18583737653190985,3.8143024097336253,2.0000698931327676
aqi_lag3h,0.019915009448510244,1.4191146990430465,0.7195148542457784
relative_humidity_lag24h,0.015322943065126677,0.9456863608503034,0.4805046519577151
aqi_lag6h,0.015054774584176454,0.6872770611368078,0.3511659178604921
pm25_lag6h,0.016094241374390153,0.6813394005503597,0.34871682096237494
relative_humidity,0.02448705494525564,0.6005579601010282,0.3125225075231419
no2,0.014890728857498084,0.5700519398067581,0.2924713343321281
pressure_lag24h,0.01649502674509134,0.46346781549715654,0.23998142112112394
no2_lag24h,0.020883782704717954,0.4360712316345911,0.22847750716965454
hour,0.009703862075823607,0.4159037549339381,0.21280380850488087
pm2_5_lag24h,0.015129605665729432,0.40865418841822143,0.21189189704197542
pm10_lag24h,0.014094149213288965,0.3099352956449724,0.16201472242913068
o3_lag24h,0.010544718698514264,0.2955857574279378,0.15306523806322603
temperature_lag24h,0.008935773375241056,0.2482168527323989,0.12857631305381997
wind_speed,0.008577625248114923,0.2394616846592669,0.12401965495369091
pm10_lag6h,0.016398013335481354,0.22891955790732593,0.12265878562140364
pressure,0.008172188564335634,0.21474423762177117,0.1114582130930534
temperature,0.006793680989459498,0.2123456866693718,0.10956968382941566
o3,0.007640471890711052,0.16139768098062493,0.08451907643566799
wind_speed_lag24h,0.005663441496794711,0.10654046606226907,0.056101953779531887
day_of_week,0.005109127382776473,0.07295710082080868,0.039033114101792575
is_weekend,0.001430260965622752,0.03174181970569356,0.016586040335658154
