feature,importance
pm2_5,221
aqi_numeric_rolling_std_12h,198
aqi_numeric_rolling_q75_3h,188
aqi_numeric_rolling_mean_6h,187
wind_speed_lag24h,128
aqi_lag1h,128
aqi_numeric_rolling_max_3h,114
aqi_numeric_rolling_max_8h,107
aqi_lag6h,103
aqi_numeric_rolling_std_24h,99
aqi_numeric_lag2h,90
pm10,85
pm25_humidity_interaction,81
pm10_rolling_std_12h,70
stability_index,69
no2,68
pm2_5_rolling_std_12h,64
no2_lag48h,63
pm25_dispersion,58
pm10_lag72h,57
aqi_numeric_rolling_mean_12h,55
pm10_lag24h,55
aqi_numeric_rolling_q25_3h,55
heat_index,55
no2_lag72h,55
aqi_lag3h,53
hour_sin,52
pm2_5_rolling_min_3h,50
pm2_5_lag60h,50
pm10_lag60h,50
pm25_temp_interaction,46
pm10_rolling_std_24h,45
aqi_numeric_lag60h,45
pm10_lag48h,45
aqi_numeric_rolling_q75_8h,45
pm10_wind_interaction,44
pm10_rolling_min_8h,43
pm10_lag12h,43
aqi_numeric_lag72h,43
pm2_5_lag72h,42
o3_lag48h,41
relative_humidity_lag48h,41
pm25_pm10_ratio,40
aqi_numeric_lag4h,40
pm2_5_rolling_std_24h,40
aqi_numeric_rolling_min_3h,39
no2_lag24h,38
o3_lag72h,37
pm2_5_rolling_max_3h,37
relative_humidity_lag24h,36
pm10_lag2h,35
pm10_lag18h,35
coarse_particle_fraction,35
pm2_5_rolling_max_8h,35
relative_humidity_rolling_q25_3h,34
temperature_rolling_q25_8h,34
o3,33
o3_lag24h,33
temperature_rolling_q25_3h,32
pressure_tendency_3h,32
relative_humidity_rolling_q75_3h,32
pm10_rolling_min_3h,31
pm10_rolling_max_3h,31
pm2_5_lag8h,31
pm10_lag8h,28
pm2_5_lag18h,28
pm2_5_rolling_max_16h,28
pm10_lag36h,28
temperature_rolling_q75_16h,27
pm2_5_lag2h,27
aqi_numeric_lag12h,27
temperature_rolling_mean_12h,27
aqi_numeric_lag48h,26
temperature_rolling_q25_16h,25
aqi_numeric_lag18h,25
pm2_5_lag48h,25
pm10_rolling_max_8h,25
pm2_5_rolling_q25_3h,25
temperature,24
pressure_lag72h,24
pressure_lag48h,24
relative_humidity_lag72h,23
relative_humidity_rolling_q25_8h,23
pm10_rolling_q25_3h,23
aqi_numeric_rolling_mean_24h,23
aqi_numeric_lag36h,23
pm2_5_lag24h,22
aqi_numeric_rolling_max_16h,22
relative_humidity_rolling_max_8h,22
pm2_5_rolling_q75_3h,22
temperature_lag72h,22
pm2_5_lag12h,22
temperature_rolling_q75_8h,22
pressure,22
temperature_rolling_q75_3h,21
pm2_5_rolling_min_8h,21
aqi_numeric_lag8h,21
relative_humidity_rolling_mean_6h,21
relative_humidity_rolling_q75_36h,21
temperature_rolling_mean_24h,21
pm10_rolling_q75_3h,21
pm10_rolling_min_16h,21
pm2_5_lag36h,20
relative_humidity,20
temperature_rolling_mean_6h,20
pressure_tendency_6h,20
hour,20
day_of_year,20
relative_humidity_rolling_mean_24h,20
pm10_rolling_mean_6h,19
relative_humidity_rolling_min_3h,19
temperature_rolling_min_16h,18
relative_humidity_rolling_mean_12h,18
pm2_5_rolling_min_16h,18
temperature_rolling_max_3h,17
temperature_rolling_min_3h,16
temperature_lag24h,16
relative_humidity_rolling_q75_8h,16
wind_speed,16
pm2_5_rolling_q25_8h,16
pm25_lag6h,16
pm2_5_hours_above_mean_24h,16
pm10_lag4h,16
pm10_rolling_max_48h,15
temperature_lag48h,15
pressure_lag24h,14
temperature_rolling_max_8h,14
relative_humidity_rolling_max_16h,14
pm10_lag6h,13
temperature_rolling_min_8h,13
pm10_rolling_q25_48h,13
aqi_numeric_rolling_q75_16h,13
pm10_rolling_q75_36h,13
pm2_5_rolling_mean_12h,13
relative_humidity_rolling_q25_36h,13
aqi_numeric_rolling_q75_48h,13
temperature_rolling_min_48h,12
pm2_5_rolling_q75_36h,12
pm10_rolling_mean_12h,12
pm10_rolling_q25_8h,12
temperature_rolling_q75_36h,11
pm2_5_rolling_mean_6h,11
pm10_rolling_max_16h,11
relative_humidity_rolling_min_8h,11
pm2_5_rolling_mean_24h,11
hour_cos,11
relative_humidity_rolling_q25_48h,11
relative_humidity_rolling_max_3h,11
temperature_rolling_q25_36h,10
pm2_5_lag4h,10
pm2_5_rolling_q75_16h,10
pm2_5_rolling_q75_8h,10
pm10_rolling_q25_36h,10
pm2_5_rolling_min_48h,10
aqi_numeric_rolling_q25_8h,10
pm2_5_rolling_min_36h,10
pm2_5_rolling_max_36h,10
pm10_rolling_mean_24h,10
pm10_rolling_q75_16h,10
pm10_rolling_q75_8h,9
pm2_5_rolling_q25_48h,9
relative_humidity_rolling_min_36h,9
temperature_rolling_q25_48h,9
relative_humidity_rolling_min_48h,9
pm2_5_rolling_max_48h,9
temperature_rolling_max_16h,9
pm10_hours_above_mean_24h,9
pm2_5_rolling_q25_36h,9
pm10_rolling_q25_16h,9
pm10_rolling_max_36h,9
aqi_numeric_rolling_q25_48h,9
aqi_numeric_rolling_max_48h,9
aqi_numeric_rolling_q25_16h,8
relative_humidity_rolling_max_48h,8
relative_humidity_rolling_q75_48h,8
relative_humidity_rolling_max_36h,8
pm10_rolling_min_36h,8
relative_humidity_rolling_q75_16h,8
day_of_week,8
aqi_numeric_rolling_min_8h,8
pm2_5_rolling_q25_16h,7
pm10_rolling_q75_48h,7
pm10_rolling_min_48h,7
relative_humidity_rolling_q25_16h,7
aqi_numeric_rolling_q75_36h,6
temperature_rolling_q75_48h,6
relative_humidity_rolling_min_16h,6
wind_chill,5
aqi_numeric_rolling_max_36h,5
temperature_rolling_max_36h,5
hour_since_midnight,5
aqi_numeric_rolling_min_16h,5
doy_sin,5
dow_sin,5
pm2_5_rolling_q75_48h,4
pm2_5_cumulative_24h,4
temperature_rolling_min_36h,4
temperature_rolling_max_48h,4
doy_cos,3
month,3
aqi_numeric_rolling_q25_36h,3
dow_cos,2
aqi_numeric_rolling_min_48h,2
pm10_cumulative_24h,2
is_morning_rush,2
is_weekend,1
is_rush_hour,1
is_peak_pollution_hour,1
season,0
aqi_numeric_rolling_min_36h,0
is_evening_rush,0
is_business_hours,0
hours_since_midnight,0
hours_until_midnight,0
is_low_pollution_hour,0
